origin,destination,early,morning,midday,afternoon,evening,night,total
Acton Town,Alperton,0,44,0,93,0,0,137
Acton Town,Amersham,0,0,0,20,0,0,20
Acton Town,Angel,1,13,5,0,3,0,22
Acton Town,Archway,0,0,0,0,0,4,4
Acton Town,Arsenal,0,0,12,17,0,0,29
Acton Town,Baker Street,0,15,0,0,0,0,15
Acton Town,Bank / Monument,106,111,5,0,0,0,222
Acton Town,Barbican,0,9,0,0,0,0,9
Acton Town,Barons Court,5,25,22,0,0,0,52
Acton Town,Bayswater,0,0,0,11,0,0,11
Acton Town,Bermondsey,0,0,0,6,0,0,6
Acton Town,Blackfriars,13,43,12,0,0,0,67
Acton Town,Blackhorse Road,0,0,0,0,20,0,20
Acton Town,Bond Street,0,0,31,0,0,0,31
Acton Town,Boston Manor,0,38,0,34,0,0,72
Acton Town,Bounds Green,0,0,17,0,0,0,17
Acton Town,Brixton,4,11,12,20,0,5,52
Acton Town,Caledonian Road,1,12,0,0,0,0,13
Acton Town,Camden Town,0,0,0,5,0,0,5
Acton Town,Canada Water,0,0,39,0,0,0,39
Acton Town,Canary Wharf,17,49,24,0,0,0,90
Acton Town,Canning Town,0,53,0,0,0,0,53
Acton Town,Cannon Street,0,18,14,0,0,0,31
Acton Town,Chancery Lane,0,49,0,0,0,0,49
Acton Town,Charing Cross,0,5,8,0,1,0,14
Acton Town,Chiswick Park,0,0,40,0,0,0,40
Acton Town,Clapham Common,0,0,3,0,0,0,3
Acton Town,Cockfosters,0,0,0,59,0,0,59
Acton Town,Covent Garden,0,45,30,42,0,0,117
Acton Town,Ealing Broadway,5,24,290,24,0,0,344
Acton Town,Ealing Common,0,14,0,15,0,0,29
Acton Town,Earl's Court,30,134,81,0,36,16,297
Acton Town,East Finchley,0,0,0,0,6,0,6
Acton Town,East Putney,0,0,0,5,0,0,5
Acton Town,Edgware,0,3,0,0,0,0,3
Acton Town,Embankment,0,0,0,16,0,0,16
Acton Town,Epping,0,0,11,0,0,0,11
Acton Town,Euston,0,11,0,0,33,0,44
Acton Town,Farringdon,61,36,0,50,0,0,147
Acton Town,Finsbury Park,0,11,0,0,0,0,11
Acton Town,Fulham Broadway,0,41,0,0,0,0,41
Acton Town,Gants Hill,0,0,1,0,0,0,1
Acton Town,Gloucester Road,0,76,30,0,0,0,106
Acton Town,Goldhawk Road,0,0,0,0,13,0,13
Acton Town,Goodge Street,0,17,8,0,0,0,25
Acton Town,Grange Hill,0,0,1,0,0,0,1
Acton Town,Great Portland Street,0,6,0,0,1,0,7
Acton Town,Green Park,0,93,56,34,0,0,182
Acton Town,Greenford,0,0,8,0,0,0,8
Acton Town,Hammersmith 1,56,399,229,146,28,37,896
Acton Town,Harrow-on-the-Hill,0,0,11,0,0,0,11
Acton Town,Hatton Cross,0,7,19,0,89,0,115
Acton Town,Heathrow Terminal 4,0,0,6,99,0,0,105
Acton Town,Heathrow Terminal 5,0,0,122,0,0,0,122
Acton Town,Heathrow Terminals 123,0,0,35,0,0,0,35
Acton Town,Hendon Central,0,6,0,0,0,0,6
Acton Town,High Street Kensington,0,0,15,0,3,0,18
Acton Town,Highbury & Islington,0,0,30,0,0,0,30
Acton Town,Holborn,16,92,26,19,0,0,154
Acton Town,Hounslow Central,0,67,34,165,0,0,265
Acton Town,Hounslow East,0,17,0,14,0,0,31
Acton Town,Hounslow West,0,40,98,0,0,0,138
Acton Town,Hyde Park Corner,0,71,0,0,0,0,71
Acton Town,Ickenham,0,0,7,0,0,0,7
Acton Town,Kennington,0,3,0,3,0,0,5
Acton Town,King's Cross St. Pancras,0,73,142,109,0,0,323
Acton Town,Knightsbridge,19,36,95,0,0,0,150
Acton Town,Leicester Square,0,54,65,50,55,12,236
Acton Town,Leyton,0,0,4,0,0,0,4
Acton Town,Liverpool Street,8,90,0,103,0,0,201
Acton Town,London Bridge,16,47,24,24,7,0,118
Acton Town,Mansion House,7,38,0,3,1,0,49
Acton Town,Marble Arch,0,0,6,0,0,0,6
Acton Town,Moorgate,0,16,0,117,0,0,132
Acton Town,Mornington Crescent,0,6,0,0,0,0,7
Acton Town,North Acton,0,0,0,5,0,0,5
Acton Town,North Ealing,0,0,0,0,45,0,45
Acton Town,North Greenwich,6,8,0,0,0,0,14
Acton Town,Northfields,72,196,9,32,0,0,309
Acton Town,Northwood,0,0,2,0,0,0,2
Acton Town,Osterley,0,0,0,0,0,0,0
Acton Town,Oxford Circus,12,48,15,0,0,0,76
Acton Town,Paddington,4,19,20,0,0,0,43
Acton Town,Park Royal,0,0,5,0,37,10,52
Acton Town,Parsons Green,0,0,11,0,0,0,11
Acton Town,Piccadilly Circus,13,94,96,58,31,10,302
Acton Town,Pimlico,0,21,17,0,0,0,38
Acton Town,Ravenscourt Park,1,17,0,0,3,0,22
Acton Town,Rayners Lane,0,0,25,45,14,0,84
Acton Town,Regent's Park,0,9,0,0,0,0,9
Acton Town,Richmond,0,42,22,0,0,0,64
Acton Town,Rickmansworth,0,0,0,29,0,0,29
Acton Town,Royal Oak,0,0,30,0,0,0,30
Acton Town,Ruislip,0,0,0,58,0,0,58
Acton Town,Russell Square,3,34,39,0,8,0,85
Acton Town,Shepherd's Bush 1,0,0,6,0,0,0,6
Acton Town,Sloane Square,12,26,33,7,0,0,78
Acton Town,South Ealing,32,13,68,2,67,67,250
Acton Town,South Harrow,0,41,0,26,17,69,153
Acton Town,South Kensington,16,137,111,35,19,0,319
Acton Town,Southwark,4,23,9,0,1,1,39
Acton Town,St. James's Park,11,68,0,0,0,0,79
Acton Town,St. Paul's,0,0,0,4,0,0,4
Acton Town,Stamford Brook,0,0,8,0,22,0,30
Acton Town,Stepney Green,0,0,0,0,0,0,0
Acton Town,Stockwell,0,4,0,12,3,0,19
Acton Town,Sudbury Hill,0,28,145,165,1,0,339
Acton Town,Swiss Cottage,0,5,0,0,0,0,5
Acton Town,Temple,0,12,6,0,0,0,19
Acton Town,Theydon Bois,0,4,14,0,0,0,18
Acton Town,Tooting Broadway,0,0,6,15,6,4,32
Acton Town,Tottenham Court Road,4,21,9,0,0,0,35
Acton Town,Tottenham Hale,0,0,0,34,0,0,34
Acton Town,Tower Hill,6,29,0,0,0,0,35
Acton Town,Turnham Green,5,47,0,0,3,0,55
Acton Town,Uxbridge,0,0,25,56,62,0,143
Acton Town,Victoria,5,18,18,19,19,5,84
Acton Town,Walthamstow Central,0,0,32,30,0,0,62
Acton Town,Warren Street,0,0,0,0,1,0,1
Acton Town,Warwick Avenue,0,0,2,0,0,0,2
Acton Town,Waterloo,0,0,32,0,0,0,32
Acton Town,West Brompton,0,15,0,0,3,5,22
Acton Town,West Kensington,0,74,0,0,0,0,74
Acton Town,Westbourne Park,0,0,0,23,0,0,23
Acton Town,Westminster,8,24,36,0,0,0,68
Acton Town,Whitechapel,0,0,15,0,0,0,15
Acton Town,Willesden Green,0,0,0,4,0,0,4
Acton Town,Wimbledon,0,11,94,68,0,0,172
Acton Town,Wimbledon Park,13,79,0,0,0,0,92
Acton Town,Wood Green,13,15,0,0,0,0,28
Acton Town,Wood Lane,0,36,0,0,0,0,36
Aldgate,Acton Town,0,0,0,2,0,0,2
Aldgate,Amersham,0,0,0,2,1,22,24
Aldgate,Angel,0,14,16,30,8,0,68
Aldgate,Archway,0,0,0,4,0,0,4
Aldgate,Arnos Grove,0,0,0,14,0,0,14
Aldgate,Arsenal,0,0,19,0,0,0,19
Aldgate,Baker Street,14,124,64,134,38,12,387
Aldgate,Balham,0,0,0,0,10,21,31
Aldgate,Bank / Monument,0,0,24,7,0,0,31
Aldgate,Barbican,11,149,92,56,24,0,332
Aldgate,Bayswater,0,0,0,9,4,0,13
Aldgate,Belsize Park,0,0,0,7,0,0,7
Aldgate,Bethnal Green,0,2,0,4,0,0,6
Aldgate,Blackfriars,0,0,23,39,0,0,63
Aldgate,Blackhorse Road,0,0,0,41,0,0,41
Aldgate,Bond Street,0,8,29,23,0,0,61
Aldgate,Bounds Green,0,0,0,0,0,0,0
Aldgate,Brixton,0,0,5,0,9,0,14
Aldgate,Burnt Oak,0,0,0,72,0,0,72
Aldgate,Caledonian Road,0,5,0,0,10,0,14
Aldgate,Camden Town,0,0,0,26,0,0,26
Aldgate,Cannon Street,0,0,28,62,0,0,90
Aldgate,Canons Park,0,0,0,19,0,0,19
Aldgate,Chalfont & Latimer,0,8,14,41,0,0,63
Aldgate,Chalk Farm,0,0,0,20,0,0,20
Aldgate,Chancery Lane,0,0,22,0,0,0,22
Aldgate,Charing Cross,0,0,3,0,0,0,3
Aldgate,Chesham,0,0,0,132,3,0,135
Aldgate,Chorleywood,0,0,0,5,0,0,5
Aldgate,Clapham Common,0,0,0,40,3,0,43
Aldgate,Cockfosters,0,0,0,7,0,0,7
Aldgate,Colindale,0,0,0,8,0,0,8
Aldgate,Colliers Wood,0,0,0,90,0,2,92
Aldgate,Covent Garden,0,2,0,0,0,0,2
Aldgate,Croxley,0,1,0,6,5,0,13
Aldgate,Dollis Hill,0,0,50,53,0,0,104
Aldgate,Ealing Broadway,0,0,0,119,0,0,119
Aldgate,Earl's Court,0,0,0,5,0,0,5
Aldgate,East Finchley,0,2,19,63,29,0,113
Aldgate,Eastcote,0,0,21,12,17,21,71
Aldgate,Edgware,0,0,0,4,0,0,4
Aldgate,Edgware Road (Cir),0,38,21,64,0,0,123
Aldgate,Elephant & Castle,0,0,0,3,0,0,3
Aldgate,Embankment,0,0,50,0,18,0,68
Aldgate,Epping,0,0,0,27,0,0,27
Aldgate,Euston,0,0,0,23,0,0,23
Aldgate,Euston Square,21,253,221,340,57,0,892
Aldgate,Farringdon,55,582,213,1001,89,87,2028
Aldgate,Finchley Central,0,0,0,3,0,0,3
Aldgate,Finchley Road,0,14,20,113,34,9,191
Aldgate,Finsbury Park,0,0,41,28,43,2,115
Aldgate,Gants Hill,0,0,0,25,0,0,25
Aldgate,Gloucester Road,0,0,0,0,0,2,2
Aldgate,Golders Green,0,0,0,13,29,0,42
Aldgate,Great Portland Street,28,197,24,65,24,0,337
Aldgate,Green Park,0,0,0,13,0,0,13
Aldgate,Hammersmith 1,0,0,0,4,1,0,4
Aldgate,Hampstead,0,0,0,0,3,0,3
Aldgate,Harrow & Wealdstone,0,16,1,15,0,0,31
Aldgate,Harrow-on-the-Hill,0,14,43,168,54,0,280
