adult_population,workbound,homebound
3459.345009071875,2144.0,696.0
1714.4252118602615,2130.0,5412.0
7963.034670865561,1999.0,4883.0
3857.8705333592466,882.0,419.0
8284.953720998034,2968.0,5344.0
7592.343145980931,4670.0,1129.0
3077.0159195558767,1909.0,620.0
8581.047793457696,1971.0,340.0
4675.41288655099,5169.0,8945.0
7779.989971963239,8647.0,1796.0
4831.985012319956,606.0,6017.0
7121.570379820531,2393.0,2355.0
1676.6509097766193,583.0,29.0
5334.378715295062,3306.0,1775.0
7123.603089911693,1098.0,362.0
3590.5554347087095,258.0,198.0
9470.935937819444,2165.0,1435.0
8394.494088157477,3980.0,2147.0
9860.422292933377,4682.0,2309.0
602.9045545016419,3852.0,7920.0
3758.6447282697654,4363.0,935.0
2355.1266811376,-167.0,13455.0
8577.382256690562,946.0,2232.0
1429.3274740226639,1204.0,383.0
5841.824617564278,2990.0,561.0
5637.737926354572,3063.0,361.0
3936.3149245538034,873.0,206.0
7859.48768603866,17955.0,3258.0
4464.428688655431,1529.0,794.0
4731.60293108941,860.0,402.0
8511.600251194632,2118.0,1277.0
6222.843936318501,2035.0,5282.0
4068.546304713365,7148.0,1756.0
308.51918150508936,4561.0,33798.0
3650.5539794244532,3764.0,1617.0
72.40639848235374,5193.0,3901.0
2409.9323141439977,1305.0,387.0
8719.848714674685,1807.0,1125.0
2677.088401529235,253.0,9876.0
431.11986485961086,4093.0,4331.0
3715.8882662692,862.0,664.0
5854.288846245951,4321.0,1239.0
9843.107025667676,3053.0,929.0
7486.968730878347,5547.0,828.0
1105.3351712608383,538.0,262.0
6267.425442312735,2736.0,980.0
5164.332983506244,3585.0,592.0
1866.9257073884287,-12.0,2591.0
3193.1694149319374,425.0,167.0
4838.717185761034,111.0,447.0
6639.544730882674,1671.0,514.0
4309.61942784202,7370.0,3399.0
3051.693740468893,1366.0,499.0
9656.498072758744,5890.0,3638.0
4039.0405600329386,1371.0,747.0
3537.510752789195,4739.0,969.0
9014.025051216548,1488.0,1111.0
6314.8397640115345,4039.0,1164.0
2594.8786801169394,1704.0,303.0
3289.0568650974487,2312.0,555.0
5345.507201397163,506.0,1984.0
4138.651111138024,1423.0,2605.0
7155.144194158738,7472.0,5071.0
3483.9316403851776,1603.0,222.0
211.31330690510848,3115.0,6378.0
4170.0061253195545,12148.0,6904.0
1764.8438759724247,3807.0,5601.0
