,arrive,availability,caloriesCost,carbonCost,depart,hassleCost,mainSegmentHashCode,plannedURL,queryIsLeaveAfter,queryTime,saveURL,segments,temporaryURL,weightedScore,route,direction,routeA,routeB,group,num_segments,length,depart_time,arrive_time,other_providers,period,hashcode,hashcode_transport
0,1542786761,AVAILABLE,42,0.3,1542785244,2.0,1023462463,https://stars.buzzhives.com/satapp/trip/planned/46ace12f-8b09-4094-b0c9-d6096a34e994,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/46ace12f-8b09-4094-b0c9-d6096a34e994,"[{'availability': 'AVAILABLE', 'endTime': 1542785280, 'segmentTemplateHashCode': -775722797, 'startTime': 1542785244}, {'availability': 'AVAILABLE', 'endTime': 1542785760, 'segmentTemplateHashCode': 1023462463, 'serviceDirection': 'Epping', 'serviceName': 'West Ruislip/Ealing Broadway - Liverpool Street - Hainault/Woodford/Epping', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690544_VJ_1-CEN-_-y05-690544-269-MT', 'startTime': 1542785280, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542786761, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542785760}]",https://stars.buzzhives.com/satapp/trip/46ace12f-8b09-4094-b0c9-d6096a34e994,19.9,0,0,North Acton,Kensington (Olympia),0,3,25.283333333333335,2018-11-21 08:27:24,2018-11-21 08:52:41,,am,-77572279710234624632071038067,1023462463
1,1542784241,AVAILABLE,42,0.3,1542782784,2.0,1023462463,https://stars.buzzhives.com/satapp/trip/planned/3f7b1944-3b9d-4e5d-acc0-80eacc3ab6eb,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/3f7b1944-3b9d-4e5d-acc0-80eacc3ab6eb,"[{'availability': 'AVAILABLE', 'endTime': 1542782820, 'segmentTemplateHashCode': -775722797, 'startTime': 1542782784}, {'availability': 'AVAILABLE', 'endTime': 1542783240, 'segmentTemplateHashCode': 1023462463, 'serviceDirection': 'Epping', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-397-T5', 'startTime': 1542782820, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542784241, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542783240}]",https://stars.buzzhives.com/satapp/trip/3f7b1944-3b9d-4e5d-acc0-80eacc3ab6eb,60.4,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 07:46:24,2018-11-21 08:10:41,,am,-77572279710234624632071038067,1023462463
2,1542786041,AVAILABLE,42,0.3,1542784584,2.0,1024615663,https://stars.buzzhives.com/satapp/trip/planned/87f12579-1e0c-49aa-b6a7-a9f5b206933a,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/87f12579-1e0c-49aa-b6a7-a9f5b206933a,"[{'availability': 'AVAILABLE', 'endTime': 1542784620, 'segmentTemplateHashCode': -775722797, 'startTime': 1542784584}, {'availability': 'AVAILABLE', 'endTime': 1542785040, 'segmentTemplateHashCode': 1024615663, 'serviceDirection': 'Newbury Park Station', 'serviceName': 'West Ruislip/Ealing Broadway - Liverpool Street - Hainault/Woodford/Epping', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690544_VJ_1-CEN-_-y05-690544-1102-MT', 'startTime': 1542784620, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542786041, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542785040}]",https://stars.buzzhives.com/satapp/trip/87f12579-1e0c-49aa-b6a7-a9f5b206933a,17.9,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 08:16:24,2018-11-21 08:40:41,,am,-77572279710246156632071038067,1024615663
3,1542786641,AVAILABLE,42,0.3,1542785124,2.0,1023404803,https://stars.buzzhives.com/satapp/trip/planned/93956e37-2119-4f3d-806c-c77890f6ee78,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/93956e37-2119-4f3d-806c-c77890f6ee78,"[{'availability': 'AVAILABLE', 'endTime': 1542785160, 'segmentTemplateHashCode': -775722797, 'startTime': 1542785124}, {'availability': 'AVAILABLE', 'endTime': 1542785640, 'segmentTemplateHashCode': 1023404803, 'serviceDirection': 'Hainault', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-1678-T5', 'startTime': 1542785160, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542786641, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542785640}]",https://stars.buzzhives.com/satapp/trip/93956e37-2119-4f3d-806c-c77890f6ee78,19.6,0,0,North Acton,Kensington (Olympia),0,3,25.283333333333335,2018-11-21 08:25:24,2018-11-21 08:50:41,,am,-77572279710234048032071038067,1023404803
4,1542785321,AVAILABLE,42,0.3,1542783864,2.0,1023462463,https://stars.buzzhives.com/satapp/trip/planned/e720ee99-0f0d-4c2d-81b3-f3504b6aac32,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/e720ee99-0f0d-4c2d-81b3-f3504b6aac32,"[{'availability': 'AVAILABLE', 'endTime': 1542783900, 'segmentTemplateHashCode': -775722797, 'startTime': 1542783864}, {'availability': 'AVAILABLE', 'endTime': 1542784320, 'segmentTemplateHashCode': 1023462463, 'serviceDirection': 'Epping', 'serviceName': 'West Ruislip/Ealing Broadway - Liverpool Street - Hainault/Woodford/Epping', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690544_VJ_1-CEN-_-y05-690544-539-MT', 'startTime': 1542783900, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542785321, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542784320}]",https://stars.buzzhives.com/satapp/trip/e720ee99-0f0d-4c2d-81b3-f3504b6aac32,15.9,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 08:04:24,2018-11-21 08:28:41,,am,-77572279710234624632071038067,1023462463
6,1542784601,AVAILABLE,42,0.3,1542783144,2.0,1023462463,https://stars.buzzhives.com/satapp/trip/planned/b3afb659-830d-4b4c-a2b4-cd979d6ea5fc,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/b3afb659-830d-4b4c-a2b4-cd979d6ea5fc,"[{'availability': 'AVAILABLE', 'endTime': 1542783180, 'segmentTemplateHashCode': -775722797, 'startTime': 1542783144}, {'availability': 'AVAILABLE', 'endTime': 1542783600, 'segmentTemplateHashCode': 1023462463, 'serviceDirection': 'Epping', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-546-T5', 'startTime': 1542783180, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542784601, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542783600}]",https://stars.buzzhives.com/satapp/trip/b3afb659-830d-4b4c-a2b4-cd979d6ea5fc,40.4,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 07:52:24,2018-11-21 08:16:41,,am,-77572279710234624632071038067,1023462463
7,1542785621,AVAILABLE,42,0.3,1542784164,2.0,1023462463,https://stars.buzzhives.com/satapp/trip/planned/8e31ff46-f0cf-47a2-abb6-8849f794b763,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/8e31ff46-f0cf-47a2-abb6-8849f794b763,"[{'availability': 'AVAILABLE', 'endTime': 1542784200, 'segmentTemplateHashCode': -775722797, 'startTime': 1542784164}, {'availability': 'AVAILABLE', 'endTime': 1542784620, 'segmentTemplateHashCode': 1023462463, 'serviceDirection': 'Epping', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-465-T5', 'startTime': 1542784200, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542785621, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542784620}]",https://stars.buzzhives.com/satapp/trip/8e31ff46-f0cf-47a2-abb6-8849f794b763,16.7,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 08:09:24,2018-11-21 08:33:41,,am,-77572279710234624632071038067,1023462463
8,1542786881,AVAILABLE,42,0.3,1542785424,2.0,1023404803,https://stars.buzzhives.com/satapp/trip/planned/3cd3ce6a-28c4-4ec0-b001-97d8ab260a9a,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/3cd3ce6a-28c4-4ec0-b001-97d8ab260a9a,"[{'availability': 'AVAILABLE', 'endTime': 1542785460, 'segmentTemplateHashCode': -775722797, 'startTime': 1542785424}, {'availability': 'AVAILABLE', 'endTime': 1542785880, 'segmentTemplateHashCode': 1023404803, 'serviceDirection': 'Hainault', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-1647-T5', 'startTime': 1542785460, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542786881, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542785880}]",https://stars.buzzhives.com/satapp/trip/3cd3ce6a-28c4-4ec0-b001-97d8ab260a9a,20.2,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 08:30:24,2018-11-21 08:54:41,,am,-77572279710234048032071038067,1023404803
9,1542784781,AVAILABLE,42,0.3,1542783324,2.0,1024615663,https://stars.buzzhives.com/satapp/trip/planned/b322d2ee-2f5d-4b8e-8d31-bd074444763e,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/b322d2ee-2f5d-4b8e-8d31-bd074444763e,"[{'availability': 'AVAILABLE', 'endTime': 1542783360, 'segmentTemplateHashCode': -775722797, 'startTime': 1542783324}, {'availability': 'AVAILABLE', 'endTime': 1542783780, 'segmentTemplateHashCode': 1024615663, 'serviceDirection': 'Newbury Park Station', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-1259-T5', 'startTime': 1542783360, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542784781, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542783780}]",https://stars.buzzhives.com/satapp/trip/b322d2ee-2f5d-4b8e-8d31-bd074444763e,30.4,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 07:55:24,2018-11-21 08:19:41,,am,-77572279710246156632071038067,1024615663
11,1542784421,AVAILABLE,42,0.3,1542782964,2.0,1023404803,https://stars.buzzhives.com/satapp/trip/planned/897f7bdc-3042-432a-bcf9-19c5e0c291d1,True,1542783479,https://stars.buzzhives.com/satapp/trip/save/897f7bdc-3042-432a-bcf9-19c5e0c291d1,"[{'availability': 'AVAILABLE', 'endTime': 1542783000, 'segmentTemplateHashCode': -775722797, 'startTime': 1542782964}, {'availability': 'AVAILABLE', 'endTime': 1542783420, 'segmentTemplateHashCode': 1023404803, 'serviceDirection': 'Hainault', 'serviceName': 'Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford', 'serviceNumber': 'Central', 'serviceTripID': '1-CEN-_-y05-690877_VJ_1-CEN-_-y05-690877-1729-T5', 'startTime': 1542783000, 'stops': 3}, {'availability': 'AVAILABLE', 'endTime': 1542784421, 'segmentTemplateHashCode': 2071038067, 'startTime': 1542783420}]",https://stars.buzzhives.com/satapp/trip/897f7bdc-3042-432a-bcf9-19c5e0c291d1,50.4,0,0,North Acton,Kensington (Olympia),0,3,24.283333333333335,2018-11-21 07:49:24,2018-11-21 08:13:41,,am,-77572279710234048032071038067,1023404803
