,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,turn-by-turn,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'Olympia Way', 'class': 'Location', 'lat': 51.49781, 'lng': -0.21038, 'timezone': 'Europe/London'}",-1921850304,,1130.0,"{'description': ""Shepherd's Bush (Central Line)"", 'instruction': 'Walk', 'mainValue': '1.2km'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 1.2km,,,,,,"[{'encodedWaypoints': 'gdiyH|ah@?R??EPXtB??KLkB~BEHAAsBlC}@fAQR???Ac@j@{@dA}@bAu@~@W\\??wAfA{@r@[V??WVS^g@jA??IY_@eA??m@iB??eD~C??{AvAM_@y@q@??Sv@K`@CJ_@lAFL??OfA??CXARA\\?f@???AIx@?NALCFEB??Br@?E', 'metres': 1126}]","{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",299.0,WALKING,unscheduled,in summary,1,Kensington (Olympia),North Acton
1,<TIME>: Take <NUMBER>,9400ZZLUNAN2,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",1663282354,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}elyHfy]jJxiB??bHhmA??rGzz@??tJnv@??rNtlA', 'travelled': False}, {'encodedWaypoints': 'omjyHlsi@om@vd@??a_@nsC??ag@nhA', 'travelled': True}, {'encodedWaypoints': 'cdnyHdwq@v`@lbC??jQx`C', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSBC1,,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.52339, 'lng': -0.25986, 'timezone': 'Europe/London'}",295.0,,scheduled,in summary,1,Kensington (Olympia),North Acton
2,<TIME>: Take <NUMBER>,9400ZZLUNAN2,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",1663380376,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}elyHfy]jJxiB??bHhmA??rGzz@??tJnv@??rNtlA', 'travelled': False}, {'encodedWaypoints': 'omjyHlsi@om@vd@??a_@nsC??ag@nhA', 'travelled': True}, {'encodedWaypoints': 'cdnyHdwq@ki@xqE??sf@xvD??{a@|lC??ye@trC??et@`|D', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSBC1,,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.52339, 'lng': -0.25986, 'timezone': 'Europe/London'}",295.0,,scheduled,in summary,1,Kensington (Olympia),North Acton
3,<TIME>: Take <NUMBER>,9400ZZLUNAN2,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",1666730422,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}elyHfy]jJxiB??bHhmA??rGzz@??tJnv@??rNtlA', 'travelled': False}, {'encodedWaypoints': 'omjyHlsi@om@vd@??a_@nsC??ag@nhA', 'travelled': True}]",[{'provider': 'London Underground'}],9400ZZLUSBC1,,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.52339, 'lng': -0.25986, 'timezone': 'Europe/London'}",295.0,,scheduled,in summary,1,Kensington (Olympia),North Acton
4,<TIME>: Take <NUMBER>,WLSD,"{'address': 'Kensington (Olympia)', 'class': 'Location', 'lat': 51.4979, 'lng': -0.21036, 'timezone': 'Europe/London'}",576303263,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Train', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_train', 'localIcon': 'train'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LO,London Overground,"[{'encodedWaypoints': 'erbyHfg`@gbAjmA??ujAxnA??wbAh{A', 'travelled': False}, {'encodedWaypoints': '{diyHvah@cm@pl@??ciDbgD', 'travelled': True}]",[{'provider': 'London Overground'}],KENOLYM,,"{'address': 'Willesden Junction', 'class': 'Location', 'lat': 51.5325, 'lng': -0.24455, 'timezone': 'Europe/London'}",316.0,,scheduled,in summary,1,Kensington (Olympia),North Acton
5,<TIME>: Walk,,"{'address': 'Willesden Junction', 'class': 'Location', 'lat': 51.5325, 'lng': -0.24455, 'timezone': 'Europe/London'}",1301076435,,183.0,"{'description': 'Willesden Junction Station', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'c}oyHlwn@Dr@AA?R?DPBb@VADJF??MbAGZ?@a@zC@n@CH', 'metres': 183}]","{'address': 'Willesden Junction Station', 'class': 'Location', 'lat': 51.53245, 'lng': -0.2467, 'timezone': 'Europe/London'}",268.0,,unscheduled,in summary,1,Kensington (Olympia),North Acton
6,<TIME>: Wait ,,,-494838523,"{'address': 'Willesden Junction Station', 'class': 'Location', 'lat': 51.53245, 'lng': -0.2467, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,,stationary,in details,1,Kensington (Olympia),North Acton
7,<TIME>: Take <NUMBER>,490000157B,"{'address': 'Willesden Junction Station', 'class': 'Location', 'lat': 51.53245, 'lng': -0.2467, 'timezone': 'Europe/London'}",1630069981,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'g|qyHhup@fH_@??bLsP??xKc^??pMxJ??tLoI', 'travelled': False}, {'encodedWaypoints': 'y|oyHzdo@nKrI??lPrU??vCtG??jG|K??`HvI??zF`E', 'travelled': True}, {'encodedWaypoints': 'y`nyHplq@jJxL??zHjS??HxG??jKxE??bQhQ', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490000271M,,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.52286, 'lng': -0.25817, 'timezone': 'Europe/London'}",230.0,,scheduled,in summary,1,Kensington (Olympia),North Acton
8,<TIME>: Walk,,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.52286, 'lng': -0.25817, 'timezone': 'Europe/London'}",881414733,,124.0,"{'description': '(51.52337,-0.25974)', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'y`nyHplq@?F?BADADi@zAw@lD?V', 'metres': 124}]","{'class': 'Location', 'lat': 51.52337, 'lng': -0.25974, 'timezone': 'Europe/London'}",288.0,,unscheduled,in summary,1,Kensington (Olympia),North Acton
9,<TIME>: Take <NUMBER>,WLSD,"{'address': 'Kensington (Olympia)', 'class': 'Location', 'lat': 51.4979, 'lng': -0.21036, 'timezone': 'Europe/London'}",576476243,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Train', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_train', 'localIcon': 'train'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LO,London Overground,"[{'encodedWaypoints': 'erbyHfg`@gbAjmA??ujAxnA??wbAh{A', 'travelled': False}, {'encodedWaypoints': '{diyHvah@cm@pl@??ciDbgD', 'travelled': True}, {'encodedWaypoints': 'c}oyHlwn@yKuxC??me@m|@??}Z{o@??kMqdA??oPgq@', 'travelled': False}]",[{'provider': 'London Overground'}],KENOLYM,,"{'address': 'Willesden Junction', 'class': 'Location', 'lat': 51.5325, 'lng': -0.24455, 'timezone': 'Europe/London'}",316.0,,scheduled,in summary,1,Kensington (Olympia),North Acton
