,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Take <NUMBER>,9400ZZLUHRC2,"{'address': 'Southgate', 'class': 'Location', 'lat': 51.63204, 'lng': -0.12793, 'timezone': 'Europe/London'}",-1458172590,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}cgzHxc\\bYcmB??r}AcV', 'travelled': False}, {'encodedWaypoints': 'ekczHp~WjbBl`@??ry@st@??fz@ayA??dm@cl@??rzBeg@??zc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ??tp@rG??ze@sX??bYfX??fHnS??|Jvl@??pNtj@??dZthA??dGtn@??nm@piA??i@l|@??lNfaA??lGf}B??eJnz@??kaAf`J??zIpjD??xGtd@??lXteA??lwAvhD??bp@hY??`Mh~@??aLbyB??~j@tkF??a_@fwD', 'travelled': True}, {'encodedWaypoints': '}~cyHfpwAwD|mE', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSGT1,,"{'address': 'Heathrow Terminals 2 & 3 Underground Station', 'class': 'Location', 'lat': 51.47136, 'lng': -0.45331, 'timezone': 'Europe/London'}",243.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
1,<TIME>: Walk,,"{'address': 'Heathrow Terminals 2 & 3 Underground Station', 'class': 'Location', 'lat': 51.47136, 'lng': -0.45331, 'timezone': 'Europe/London'}",-700761064,,82.0,"{'description': '(51.47122,-0.45244)', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': '}~cyHfpwABY@@?EAa@@E?CWKHWb@aA', 'metres': 82}]","{'class': 'Location', 'lat': 51.47122, 'lng': -0.45244, 'timezone': 'Europe/London'}",99.0,unscheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
2,<TIME>: Take <NUMBER>,9400ZZLUKSX7,"{'address': 'Southgate', 'class': 'Location', 'lat': 51.63204, 'lng': -0.12793, 'timezone': 'Europe/London'}",1003488625,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}cgzHxc\\bYcmB??r}AcV', 'travelled': False}, {'encodedWaypoints': 'ekczHp~WjbBl`@??ry@st@??fz@ayA??dm@cl@??rzBeg@??zc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': True}, {'encodedWaypoints': '{toyH`aWtp@rG??ze@sX??bYfX??fHnS??|Jvl@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSGT1,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",177.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
3,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",472583506,,219.0,"{'description': ""King's Cross St. Pancras"", 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': '{toyH`aWH?L_@?EnB^d@`BT~@Tj@????BCDAB?D@DBJKJXFK?@LK?B', 'metres': 219}]","{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.52974, 'lng': -0.12419, 'timezone': 'Europe/London'}",214.0,unscheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
4,<TIME>: Wait ,,,-494827456,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.52974, 'lng': -0.12419, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,9,Southgate,"Heathrow Terminals 1, 2, 3"
5,<TIME>: Take <NUMBER>,9400ZZLUPAH1,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.52974, 'lng': -0.12419, 'timezone': 'Europe/London'}",1424720231,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'crlyHr{LqIzeA??wFbl@??iJnt@??eA`k@??{x@~tB', 'travelled': False}, {'encodedWaypoints': 'ykoyHdgWbYjfA??~Jjr@??lH|pA??|M|bA??rItcA', 'travelled': True}, {'encodedWaypoints': 'ubmyHn|a@oDf{@??yJfrA??lU~w@??lWxk@??xVbg@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUKSX3,,"{'address': 'Paddington (H&C Line)', 'class': 'Location', 'lat': 51.51804, 'lng': -0.1788, 'timezone': 'Europe/London'}",257.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
6,<TIME>: Walk,,"{'address': 'Paddington (H&C Line)', 'class': 'Location', 'lat': 51.51804, 'lng': -0.1788, 'timezone': 'Europe/London'}",623329180,,356.0,"{'description': 'London Paddington', 'instruction': 'Walk', 'mainValue': '400m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 400m,,,,,,"[{'encodedWaypoints': 'ubmyHn|a@@kACE|AyA?Ch@_AvBmD~@_Bh@rALSn@cA@?QK', 'metres': 356}]","{'address': 'London Paddington', 'class': 'Location', 'lat': 51.516, 'lng': -0.17617, 'timezone': 'Europe/London'}",127.0,unscheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
7,<TIME>: Wait ,,,-494975233,"{'address': 'London Paddington', 'class': 'Location', 'lat': 51.516, 'lng': -0.17617, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,9,Southgate,"Heathrow Terminals 1, 2, 3"
8,<TIME>: Take <NUMBER>,HTRWAPT,"{'address': 'London Paddington', 'class': 'Location', 'lat': 51.516, 'lng': -0.17617, 'timezone': 'Europe/London'}",1833157335,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Train', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_train', 'localIcon': 'train'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",HX,Heathrow Express,"[{'encodedWaypoints': '_vlyH`la@|rG`hu@', 'travelled': True}, {'encodedWaypoints': 'abdyHbuwAfJ`cF', 'travelled': False}]",[{'provider': 'Heathrow Express'}],PADTON,,"{'address': 'Heathrow Terminals 1-3', 'class': 'Location', 'lat': 51.47185, 'lng': -0.4541, 'timezone': 'Europe/London'}",260.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
9,<TIME>: Walk,,"{'address': 'Heathrow Terminals 1-3', 'class': 'Location', 'lat': 51.47185, 'lng': -0.4541, 'timezone': 'Europe/London'}",-1220389559,,174.0,"{'description': '(51.47122,-0.45244)', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'abdyHbuwAJQj@_@EICY@?A?B_D@KFIBADDJTHWb@aA', 'metres': 174}]","{'class': 'Location', 'lat': 51.47122, 'lng': -0.45244, 'timezone': 'Europe/London'}",110.0,unscheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
10,<TIME>: Take <NUMBER>,9400ZZLUKSX7,"{'address': 'Southgate', 'class': 'Location', 'lat': 51.63204, 'lng': -0.12793, 'timezone': 'Europe/London'}",1003598179,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}cgzHxc\\bYcmB??r}AcV', 'travelled': False}, {'encodedWaypoints': 'ekczHp~WjbBl`@??ry@st@??fz@ayA??dm@cl@??rzBeg@??zc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': True}, {'encodedWaypoints': '{toyH`aWtp@rG??ze@sX??bYfX??fHnS??|Jvl@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSGT1,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",177.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
11,<TIME>: Take <NUMBER>,9400ZZLUKSX7,"{'address': 'Southgate', 'class': 'Location', 'lat': 51.63204, 'lng': -0.12793, 'timezone': 'Europe/London'}",1003834585,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}cgzHxc\\bYcmB??r}AcV', 'travelled': False}, {'encodedWaypoints': 'ekczHp~WjbBl`@??ry@st@??fz@ayA??dm@cl@??rzBeg@??zc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': True}, {'encodedWaypoints': '{toyH`aWtp@rG??ze@sX??bYfX??fHnS??|Jvl@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSGT1,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",177.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
12,<TIME>: Take <NUMBER>,9400ZZLUKSX7,"{'address': 'Southgate', 'class': 'Location', 'lat': 51.63204, 'lng': -0.12793, 'timezone': 'Europe/London'}",1003840351,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}cgzHxc\\bYcmB??r}AcV', 'travelled': False}, {'encodedWaypoints': 'ekczHp~WjbBl`@??ry@st@??fz@ayA??dm@cl@??rzBeg@??zc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': True}, {'encodedWaypoints': '{toyH`aWtp@rG??ze@sX??bYfX??fHnS??|Jvl@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSGT1,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",177.0,scheduled,in summary,9,Southgate,"Heathrow Terminals 1, 2, 3"
